Unnamed:_0,Wedding_Type,Place,Cost_of_Type,Clothes_Bride,Clothes_Groom,Photography,Decor,Decor_Category,Entertainment,Entertainment_Category,Giftsper_piece,Gifts_Category,Invitations_Cards,Cards_Category
140,8,15,3357653,164689,74603,163084,382142,0,498267,0,3113,1,638,0
141,3,5,3342904,182743,28518,83464,320498,0,251935,0,4989,2,209,1
142,2,6,37857,21580,6395,32410,317460,0,62557,2,2835,1,896,2
143,7,16,8819493,607096,516816,190556,324657,0,45918,2,3135,1,951,2
144,7,19,7952244,345666,101961,102403,255384,0,153122,3,1688,3,912,2
145,3,15,2750172,87781,92307,243104,336354,0,134559,3,1697,3,69,3
146,6,11,989772,73447,423699,137168,97315,3,276397,0,903,0,831,2
147,7,9,8086886,414883,256145,78237,157491,3,55093,2,1516,3,301,1
148,3,8,2536736,93248,74188,187014,164795,3,357052,0,2688,1,991,2
149,1,12,3993586,83379,90669,233052,386671,0,104285,3,2350,1,793,0
150,7,18,7765576,863966,180867,256307,375727,0,299924,0,2582,1,212,1
152,0,7,4471134,541434,359152,291070,210244,0,301679,0,3461,1,115,1
153,6,16,280559,54405,584680,222025,540454,1,226522,3,4978,2,140,1
154,4,8,5191066,220894,77067,132908,80503,3,289975,0,2070,1,968,2
155,1,2,2026973,86985,92559,232997,128799,3,114918,3,4326,2,361,1
156,7,4,7327958,404740,321462,67944,223102,0,27283,1,3606,1,237,1
157,3,3,4530570,136829,56256,97118,118070,3,375198,0,2664,1,404,1
158,2,6,45565,24026,5652,145665,253961,0,492174,0,731,0,442,1
159,5,13,10839430,777732,263228,205050,432729,1,441264,0,2138,1,336,1
161,6,5,284956,86468,344115,89035,75652,3,357100,0,1955,3,449,1
162,7,11,6786303,595064,564778,126579,94832,3,355018,0,3912,1,197,1
163,8,13,1807711,190736,52662,203677,212909,0,318872,0,3775,1,615,0
164,2,14,33037,20807,7345,244911,159265,3,31155,2,1465,3,990,2
165,6,9,947543,56521,267685,127962,173327,3,202166,3,4564,2,379,1
166,8,18,2864682,173975,149248,116083,175697,3,51258,2,4064,2,102,1
167,6,8,930824,60827,284059,187680,105131,3,383949,0,1763,3,113,1
168,3,18,3066934,145400,79924,228644,434895,1,341730,0,1160,3,991,2
169,5,7,8526502,612006,112964,183691,355127,0,418439,0,2259,1,622,0
170,3,15,3828538,194007,39462,158681,404045,1,107830,3,4534,2,267,1
171,4,8,5355038,145999,142467,29319,598516,1,306461,0,3981,1,110,1
172,8,13,2423127,139871,33524,248122,356165,0,34320,2,1579,3,98,3
173,8,2,2841619,55354,146411,137441,321290,0,40336,2,1694,3,279,1
174,1,14,3778372,52857,69911,117918,85777,3,225902,3,4379,2,417,1
175,8,10,2001500,157068,72169,284783,401985,1,52915,2,1996,3,984,2
176,4,16,3629024,159993,111280,115736,598301,1,163036,3,4602,2,153,1
177,1,17,2898077,80604,57836,278407,242591,0,365809,0,3050,1,632,0
178,3,1,2516366,126239,89370,110610,321516,0,278374,0,4505,2,434,1
179,4,5,7898289,185479,81441,238288,155665,3,151550,3,3297,1,716,0
180,0,16,4547361,665439,266027,81186,256841,0,216862,3,3032,1,561,0
181,4,9,4039977,184360,130596,62268,163701,3,460960,0,3825,1,389,1
182,0,16,3738871,645726,147883,228368,219608,0,154005,3,3966,1,53,3
183,8,2,2382754,121304,36276,270737,90054,3,160707,3,2876,1,716,0
184,4,12,5924737,166037,143070,275740,435133,1,121613,3,868,0,360,1
185,5,7,11289258,743746,259389,74933,325150,0,236073,3,4681,2,761,0
186,4,4,6734238,209749,139514,120177,94649,3,83931,2,3402,1,236,1
187,6,15,250401,77988,407572,265676,497269,1,329778,0,4474,2,983,2
188,5,11,8776328,792923,440255,295601,343222,0,79446,2,1452,3,596,0
189,5,2,8599633,767619,329494,165319,529459,1,94583,2,2112,1,168,1
190,6,18,925181,55481,218205,173888,423408,1,154279,3,1656,3,276,1
191,3,8,4632503,141678,68315,173254,69727,3,372459,0,4858,2,641,0
192,5,18,6492064,912482,311726,271930,245987,0,64598,2,4369,2,707,0
193,0,0,3546080,537089,395827,112189,312452,0,111075,3,2841,1,369,1
194,3,5,4772479,112479,74623,50083,394981,0,48604,2,2534,1,383,1
195,8,9,3431186,71818,79540,231467,185569,3,66282,2,4971,2,976,2
196,1,6,1962630,56698,39332,138351,324290,0,255931,0,3092,1,834,2
197,2,8,26877,29071,7620,125201,378383,0,325061,0,2179,1,470,1
198,7,15,8635164,853826,160776,235369,255958,0,91452,2,4911,2,352,1
199,7,2,6261662,213992,105833,148500,345365,0,140300,3,4176,2,377,1
200,2,4,44324,28505,8002,284563,479658,1,375291,0,1000,3,231,1
201,8,10,3392082,80432,59466,282306,316259,0,440979,0,1994,3,852,2
202,4,4,7429899,161758,120261,260153,333926,0,498097,0,4621,2,434,1
203,3,1,2542058,179807,77203,216372,130058,3,244931,3,4762,2,365,1
204,2,4,95773,15831,10463,256749,299466,0,395418,0,2247,1,639,0
205,6,5,551620,74667,46797,90657,171130,3,151878,3,2605,1,386,1
206,0,16,4602205,622368,106972,28578,187877,3,64386,2,3940,1,684,0
207,5,5,10881116,538841,153045,27436,54782,2,408045,0,2334,1,957,2
208,7,0,6567116,615796,538752,36780,458387,1,162918,3,2977,1,334,1
209,7,8,7696443,210256,294402,188964,66091,3,157168,3,1896,3,596,0
210,0,12,4380155,692012,271597,233913,407798,1,312176,0,2094,1,707,0
211,1,12,2183338,75738,80296,57470,130881,3,62363,2,683,0,362,1
212,7,12,8028085,271118,318469,133467,558723,1,478503,0,769,0,781,0
213,7,13,6556195,396286,187988,112624,256883,0,239599,3,1843,3,350,1
214,1,6,3896265,58619,86020,283016,356731,0,203835,3,3550,1,193,1
215,6,2,427284,76315,544900,90613,182572,3,361809,0,1912,3,687,0
216,3,10,2438979,138811,62821,253356,372133,0,461388,0,3430,1,284,1
217,4,8,6861790,175999,96028,24707,376797,0,384740,0,2009,1,609,0
218,2,2,22597,23170,9123,88759,422712,1,279751,0,1467,3,638,0
219,1,10,1663119,74738,56631,227023,434545,1,143662,3,4557,2,58,3
220,3,8,3741503,136093,91283,200714,406940,1,436653,0,1366,3,473,1
221,4,0,6330411,232117,80995,296798,549438,1,328114,0,2869,1,462,1
222,1,14,3210478,80862,41756,216667,374662,0,57916,2,1843,3,690,0
223,5,16,8035962,916516,325225,138989,575745,1,362186,0,2275,1,999,2
224,8,3,1899816,136018,61465,295111,281576,0,350415,0,4086,2,726,0
225,4,6,5829214,184218,81877,72283,173509,3,447902,0,1863,3,632,0
226,1,6,3206197,68609,53900,269822,146175,3,165116,3,4927,2,931,2
227,6,12,644512,78684,530866,299585,155022,3,255484,0,3098,1,60,3
228,0,11,4328645,664846,255250,125676,355028,0,212431,3,4924,2,316,1
229,3,16,2319884,83792,86069,223116,291681,0,226111,3,2264,1,921,2
230,3,6,4954388,125546,49906,71656,94000,3,282491,0,1446,3,642,0
231,1,16,2508845,67992,49911,175259,470533,1,270033,0,2080,1,140,1
232,0,12,3821819,653529,368745,211290,428002,1,182941,3,1510,3,407,1
233,5,1,5636891,929423,290111,242615,263078,0,322939,0,3019,1,525,0
234,5,13,8350201,851157,172909,146337,492240,1,87290,2,1828,3,958,2
235,6,19,891256,50091,313752,257812,563657,1,207837,3,3262,1,946,2
236,2,19,82058,27738,12266,152188,451661,1,104515,3,1907,3,653,0
237,1,18,2619407,69482,77754,88066,379056,0,32037,2,1348,3,339,1
238,1,8,2047088,79472,58334,205191,448640,1,475507,0,800,0,664,0
239,4,2,4934588,136417,105617,282938,518349,1,188295,3,3782,1,52,3
240,6,7,799774,63893,81682,290467,222492,0,52001,2,913,0,515,0
241,7,9,8694456,819202,220723,98113,241268,0,451926,0,1132,3,903,2
242,5,3,6442469,931274,115739,261387,278091,0,340250,0,4011,2,994,2
243,5,15,6773705,985854,541200,141291,513330,1,498748,0,1590,3,204,1
244,6,1,809890,54925,247316,118212,507943,1,207823,3,737,0,950,2
245,1,16,3498158,90159,89714,236346,288708,0,415013,0,721,0,171,1
246,6,2,423415,87364,373437,173788,85469,3,351416,0,1343,3,974,2
247,7,0,7536480,530077,277303,97320,135454,3,190074,3,3503,1,343,1
248,0,12,5599535,560073,293663,254837,58868,2,172961,3,3724,1,471,1
249,1,17,2720478,54104,93841,285446,383653,0,252013,0,2337,1,378,1
250,0,3,4207782,568265,109143,109262,329867,0,158133,3,3839,1,306,1
251,8,16,2540255,97516,103594,61131,280299,0,275727,0,4654,2,391,1
252,3,7,2569086,104845,47971,118569,456604,1,399106,0,3080,1,218,1
253,8,0,3087355,198074,107340,74590,262803,0,118954,3,716,0,91,3
254,8,12,1909846,200137,100316,173025,127666,3,120669,3,4215,2,618,0
255,6,15,316705,98043,286436,107697,209042,0,370882,0,3801,1,979,2
256,7,17,6131356,748174,375356,215131,210217,0,334860,0,3728,1,501,0
257,4,4,3730884,225934,96320,23714,274606,0,92807,2,3231,1,463,1
258,4,7,3811320,103510,145340,73384,551882,1,413094,0,1357,3,686,0
259,4,5,5998812,163350,139673,169817,349100,0,219849,3,552,0,555,0
260,3,14,3538394,138484,46344,149092,331500,0,478888,0,2815,1,821,2
261,1,1,3271516,82673,47199,153946,138171,3,42416,2,916,0,736,0
262,3,10,2569165,164980,46382,240783,339366,0,341214,0,3040,1,414,1
263,6,18,260088,95856,485402,161819,327550,0,361247,0,2711,1,495,1
264,0,0,3161643,697651,183009,297670,524358,1,149124,3,2463,1,913,2
265,7,2,8035469,286076,478650,229196,455808,1,392319,0,4136,2,381,1
266,0,11,3272958,658984,219663,38770,522904,1,236725,3,2974,1,358,1
267,3,4,1850253,145599,94114,264842,282783,0,422951,0,1704,3,397,1
268,3,10,3807598,75819,91436,137845,417659,1,299417,0,1464,3,635,0
269,2,18,58860,29987,12440,271646,535280,1,263001,0,2886,1,728,0
270,1,1,3896492,64316,84864,169846,103681,3,279022,0,4390,2,763,0
271,0,2,5796108,617753,177890,190535,595187,1,89367,2,2088,1,347,1
272,5,18,10585413,519357,95067,71154,501711,1,177438,3,4899,2,644,0
273,0,13,4764078,531581,160828,261632,257897,0,328251,0,4526,2,349,1
274,7,6,5256610,754798,144403,247437,64869,3,121142,3,3624,1,524,0
275,5,10,9904745,901807,239594,42769,352349,0,77154,2,2366,1,800,2
277,0,14,3865263,649903,318387,79267,517242,1,231155,3,2553,1,234,1
278,4,9,7673827,120524,106877,155142,443622,1,353340,0,3982,1,306,1
279,1,3,1970391,93073,92494,259351,557503,1,299120,0,3630,1,155,1
280,2,5,25815,27881,8960,229849,331706,0,109791,3,3429,1,404,1
281,4,14,6447587,137371,85571,138371,255258,0,172113,3,2965,1,265,1
282,1,14,2325518,57679,36053,222686,389185,0,429551,0,1455,3,952,2
283,1,5,3383960,78546,85232,189190,233455,0,278618,0,1318,3,698,0
284,1,4,1781994,90992,64437,226088,162045,3,406456,0,3804,1,469,1
285,0,0,4999421,667718,128752,227035,316025,0,350501,0,1039,3,133,1
286,8,10,2292858,129674,93341,199444,354274,0,192226,3,4797,2,241,1
287,0,7,3493382,568466,368270,220227,593177,1,260425,0,4774,2,616,0
288,1,13,2481144,70811,72082,223052,256298,0,265230,0,1402,3,382,1
289,0,5,3424503,507754,398637,228037,260398,0,199328,3,4567,2,707,0
290,7,0,9003514,597848,129144,21291,69963,3,419480,0,4513,2,273,1
291,3,16,1948379,111814,89667,113007,432371,1,160590,3,1219,3,584,0
292,6,5,517349,92444,293343,182338,276795,0,421643,0,4042,2,298,1
293,6,8,917154,50488,300509,79061,219514,0,67216,2,2468,1,833,2
294,8,0,1758527,70177,67459,233574,97107,3,454014,0,635,0,914,2
295,3,18,3037914,134001,58190,218632,306685,0,413151,0,3639,1,472,1
296,3,17,4977957,187676,64048,137186,117796,3,438138,0,2347,1,593,0
297,3,13,4127195,180658,91776,25278,547535,1,136858,3,520,0,257,1
298,6,0,817921,63891,299213,83406,503032,1,65462,2,3205,1,319,1
299,3,5,3127050,97121,25614,169530,593001,1,379071,0,4496,2,329,1
300,7,1,6344051,675593,247445,272737,213118,0,490637,0,4000,2,387,1
301,8,18,3005588,89933,55159,22465,512800,1,262329,0,1340,3,376,1
302,0,14,4600534,582693,152418,250285,539306,1,384046,0,1098,3,193,1
303,8,17,2766842,95614,37814,148657,89798,3,190109,3,3847,1,137,1
304,2,17,83490,15981,11661,114939,539986,1,320584,0,1185,3,427,1
305,1,19,3777373,72769,90583,290368,243762,0,32670,2,3956,1,987,2
306,4,12,5067327,210574,135529,257761,321560,0,436598,0,1537,3,421,1
307,1,16,3063905,82087,92144,271934,448093,1,472571,0,1118,3,846,2
308,0,16,4953420,520118,336874,117444,361351,0,450256,0,4281,2,510,0
309,3,16,1548753,131577,64469,290049,324406,0,59516,2,2443,1,904,2
310,4,3,4661825,167673,80187,296902,529669,1,104580,3,3238,1,934,2
311,4,9,5615260,191999,141005,179661,78896,3,316073,0,1431,3,367,1
312,5,14,9546937,632563,199926,184030,451150,1,106390,3,1150,3,655,0
313,2,4,81040,19741,10617,288160,373362,0,239231,3,3554,1,192,1
314,3,4,2074009,144355,37008,201308,166541,3,364058,0,3179,1,312,1
315,4,13,4713249,172258,98023,84745,414458,1,90793,2,1891,3,682,0
317,2,12,85918,18229,7428,155837,279143,0,424350,0,1101,3,639,0
318,6,4,369966,86800,37970,27258,500851,1,198802,3,2877,1,164,1
319,2,10,61393,20527,11102,230167,588722,1,209065,3,4529,2,594,0
320,2,13,38644,30428,5045,223908,95253,3,420287,0,4118,2,667,0
321,6,10,492136,76667,309759,114353,96045,3,157018,3,3464,1,105,1
322,8,15,2838652,58022,139184,85045,289159,0,298681,0,1396,3,383,1
323,6,9,622311,65127,157937,168602,228095,0,469595,0,622,0,256,1
324,2,18,40188,15499,8785,67751,212752,0,367140,0,4994,2,387,1
325,2,5,76827,21144,11069,242511,61277,3,91439,2,2192,1,494,1
326,2,3,56620,28625,6170,165627,200080,0,496474,0,1325,3,394,1
327,2,14,35891,16821,6887,204265,141347,3,387281,0,2544,1,304,1
328,2,13,75708,18937,11503,203992,179347,3,225239,3,772,0,316,1
329,6,11,446157,61297,237415,201990,502584,1,22834,1,1016,3,240,1
330,4,13,6479655,112314,130447,248663,527142,1,246097,3,891,0,566,0
331,3,8,3288763,136402,61816,123779,205217,0,157103,3,4156,2,744,0
332,5,2,10747561,656283,514125,31947,487032,1,153998,3,4477,2,821,2
333,3,10,2697091,112760,64809,181305,528928,1,161351,3,2661,1,119,1
334,7,5,5367878,705236,493706,160225,579012,1,443307,0,3800,1,522,0
335,2,0,35702,20053,7054,69742,515739,1,252961,0,1501,3,397,1
336,0,7,3315783,642131,165378,100053,158834,3,219263,3,1614,3,458,1
337,0,13,4159776,564525,176113,98575,114762,3,154765,3,1094,3,940,2
338,6,4,672732,77970,240538,68222,543493,1,238604,3,3314,1,750,0
339,3,16,3415445,146570,59625,247104,523436,1,247567,3,1841,3,99,3
340,8,0,2842441,147882,78569,129611,592447,1,219687,3,2732,1,77,3
341,6,7,552486,69345,462542,71247,305829,0,395070,0,854,0,536,0
342,0,8,4440023,516219,348528,252122,340966,0,411805,0,4222,2,381,1
343,6,7,402552,70071,590607,270706,111075,3,458364,0,3658,1,388,1
344,7,2,8336489,295983,350041,24220,582268,1,102583,3,2039,1,470,1
346,8,3,2213958,113337,68119,150289,436820,1,459597,0,1397,3,282,1
347,1,14,3769594,53284,73443,123780,439455,1,335715,0,967,0,984,2
348,0,19,4164088,634291,230819,64896,585699,1,81449,2,2365,1,479,1
349,7,3,7085097,721807,213739,294051,135716,3,135767,3,2903,1,513,0
350,2,12,67714,29422,5257,242034,349451,0,401356,0,4593,2,69,3
351,0,14,5629947,663321,354934,226970,55038,2,65542,2,1067,3,550,0
352,1,5,3203328,84241,50882,66605,127569,3,307853,0,3868,1,253,1
353,4,17,7129982,106962,134728,62949,432708,1,248435,3,665,0,161,1
354,5,4,11748986,290787,399629,230203,560830,1,160554,3,1500,3,930,2
355,0,1,4429344,698520,184333,120165,360105,0,461257,0,1461,3,51,3
356,0,8,3551645,564902,323461,60043,287164,0,138217,3,3161,1,222,1
357,1,17,3012375,80431,73127,149542,315161,0,229160,3,2864,1,201,1
358,3,4,1633709,115864,26634,64079,238884,0,225313,3,4542,2,757,0
359,1,19,2439428,89217,60336,66668,128752,3,414287,0,3626,1,281,1
360,1,15,3088388,80674,68540,286451,485713,1,36438,2,4690,2,205,1
361,3,15,2980774,176494,25102,170350,261251,0,465968,0,4047,2,707,0
362,4,18,4793486,135834,129703,109357,421008,1,69858,2,2538,1,803,2
363,2,3,34043,15716,7048,269123,198495,3,74461,2,2533,1,101,1
364,1,3,3267496,80921,38663,144804,62245,3,392530,0,2157,1,616,0
365,7,3,8714454,347550,153795,119034,547681,1,145654,3,4366,2,983,2
366,7,14,5712098,253354,163454,106550,560120,1,381836,0,4018,2,781,0
367,6,16,702118,96867,576707,41827,204146,0,40024,2,3953,1,776,0
368,6,2,323008,60575,533309,146967,372740,0,213904,3,2439,1,173,1
369,8,6,3088788,184145,136781,195792,372373,0,444332,0,3892,1,647,0
370,1,8,2822673,56071,39151,40380,523787,1,175277,3,4305,2,247,1
